citing_paper_eid,citing_paper_doi,citing_paper_title,cited_data_paper_title,mention_count,mentioned_sections,prediction_rule1,prediction_rule2
2-s2.0-105002637578,10.1016/j.solener.2025.113509,Predictive modeling and optimization of CIGS thin film solar cells: A machine learning approach,Modeling and performance analysis dataset of a CIGS solar cell with ZnS buffer layer,0,[],0,0
2-s2.0-105000342766,10.1016/j.watbs.2025.100383,Biologging as a potential platform for resolving ocean environmental issues and threats: Towards the development of the Internet of Animals,Satellite-based time-series of sea-surface temperature since 1981 for climate applications,1,['Characteristics of biologging'],0,0
2-s2.0-105002333796,10.1016/j.saa.2025.126132,Surface-enhanced Raman spectroscopic sensing of the herbicide alachlor using Au16 nanocluster,QTAIM analysis dataset for non-covalent interactions in furan clusters,2,['Quantum theory of atoms in molecules'],1,0
2-s2.0-85108408917,10.1016/j.eswa.2021.115436,Death mechanism-based moth–flame optimization with improved flame generation mechanism for global optimization tasks[Formula presented],A comprehensive database of Nature-Inspired Algorithms,1,['Introduction'],0,0
2-s2.0-85133287845,10.1016/j.colsurfa.2022.129544,Preparation and characterization of crosslinked starch films pretreated with sodium hydroxide/amide/water solvent system,Adsorption of organic pollutants from real refinery wastewater on prepared cross-linked starch by epichlorohydrin,1,['IR determination'],0,0
2-s2.0-85160651537,10.1016/j.heliyon.2023.e16843,Translation and validation of the WHO-5 General well-being index into native language Quechua of the Peruvian South,Subjective wellbeing and mental health during the COVID-19 pandemic: Data from three population groups in Colombia,1,['Introduction'],0,0
2-s2.0-85169793479,10.1016/j.foodres.2023.113394,"From ancient crop to modern superfood: Exploring the history, diversity, characteristics, technological applications, and culinary uses of Peruvian fava beans","Data on the proximate composition, bioactive compounds, physicochemical and functional properties of a collection of faba beans (Vicia faba L.) and lentils (Lens culinaris Medik.)",0,[],0,0
2-s2.0-85142532963,10.1016/j.indcrop.2022.116022,Biotechnological conversion of yam peels for enhanced citric acid production: Data-driven machine learning modeling and global sensitivity analysis of the impact of metabolic stimulants,"Dataset on optimized biodiesel production from seeds of Vitis vinifera using ANN, RSM and ANFIS",1,['Introduction'],0,0
2-s2.0-85212982352,10.1016/j.ces.2024.121101,Experimental and modelling study of ammonia-based FGD scrubbers,Dataset of wet desulphurization scrubbing in a column packed with Mellapak 250.X,0,[],0,0
2-s2.0-105008449228,10.1016/j.marpolbul.2025.118326,"Multivariate analysis and seasonal dynamics of toxic trace elements and antibiotics in shrimp (Penaeus vannamei, boon, 1931) aquaculture: Impacts on human and environmental health",Quantitative measurement of toxic metals and assessment of health risk in agricultural products food from Markazi Province of Iran,1,['Introduction'],0,0
2-s2.0-85215848216,10.1016/j.avrs.2025.100222,"Distribution pattern and niche overlap of sympatric breeding birds along human-modified habitat gradients in Inner Mongolia, China",The 30m annual land cover dataset and its dynamics in China from 1990 to 2019,0,[],0,0
2-s2.0-85052881168,10.1016/j.dib.2018.08.053,Proteomic and functional data sets on synaptic mitochondria from rats with genetic ablation of Parkin,"SWATH-MS proteome profiling data comparison of DJ-1, Parkin, and PINK1 knockout rat striatal mitochondria",1,['Data'],0,1
2-s2.0-85209407406,10.1016/j.jaac.2024.10.013,Identification of Risk Genes for Attention-Deficit/Hyperactivity Disorder During Early Human Brain Development,CommonMind Consortium provides transcriptomic and epigenomic data for Schizophrenia and Bipolar Disorder,1,['Adult Human Brain Gene and Splicing Expression Weights Datasets'],0,1
2-s2.0-85061310838,10.1016/j.dib.2019.103705,Trends and patterns of broadband Internet access speed in a Nigerian university campus: A robust data exploration,Smart campus: Data on energy consumption in an ICT-driven university,0,[],0,0
2-s2.0-85173883804,10.1016/j.ref.2023.100490,Performance and dynamics of California offshore wind alongside Western US onshore wind and solar power,Developing reliable hourly electricity demand data through screening and imputation,1,['Data Collection'],0,1
2-s2.0-85163033398,10.1016/j.scitotenv.2023.165058,Effectiveness of emission controls implemented since 2000 on ambient ozone concentrations in multiple timescales in Japan: An emission inventory development and simulation study,High resolution temporal profiles in the Emissions Database for Global Atmospheric Research,1,['Other sources'],0,0
2-s2.0-85212816444,10.1016/j.expneurol.2024.115122,"Age differences in organophosphorus nerve agent-induced seizure, blood brain barrier integrity, and neurodegeneration in midazolam-treated rats","Dataset of EEG power integral, spontaneous recurrent seizure and behavioral responses following combination drug therapy in soman-exposed rats",2,['Discussion'],1,0
2-s2.0-85207320701,10.1016/j.isci.2024.111126,Dung beetle optimization algorithm-based hybrid deep learning model for ultra-short-term PV power prediction,Solar and wind power data from the Chinese State Grid Renewable Energy Generation Forecasting Competition,1,['Public dataset testing'],0,1
2-s2.0-85193735522,10.1016/j.ejrh.2024.101824,Examining the 2022 drought event in the past and future discharge changes of the Upper Jialing River from a tree-ring perspective,Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset,1,['Hydroclimatic data'],0,1
2-s2.0-85063012581,10.5004/dwt.2019.23180,A comparison study of granular activated carbon modification by FeCl 3 under the acidic and basic condition for arsenic removal from water,Experimental data for aluminum removal from aqueous solution by raw and iron-modified granular activated carbon,0,[],0,0
2-s2.0-85089033562,10.1016/j.matpr.2020.02.209,Effects of ball milling on particle size distribution and microstructure of eggshells for applications in metal matrix composites,Data showing the effects of vibratory disc milling time on the microstructural characteristics of Coconut Shell Nanoparticles (CS-NPs),1,['Literature review'],0,0
2-s2.0-85173841003,10.1016/j.cmpb.2023.107849,Graph- and transformer-guided boundary aware network for medical image segmentation,Dataset of breast ultrasound images,1,['Datasets'],0,1
2-s2.0-85127933030,10.1016/j.jprot.2022.104578,A comprehensive update on Capsicum proteomics: Advances and future prospects,"Transcriptome profiling of abiotic responses to heat, cold, salt, and osmotic stress of Capsicum annuum L",1,['Introduction'],0,0
2-s2.0-85104301320,10.1016/j.enbuild.2021.110885,Data science for building energy efficiency: A comprehensive text-mining driven review of scientific literature,"The Building Data Genome Project 2, energy meter data from the ASHRAE Great Energy Predictor III competition",0,[],0,0
2-s2.0-105001429996,10.1016/j.sftr.2025.100578,Towards a sustainable future: The interplay of trade globalization and regulatory quality on environmental outcomes in India,The KOF Globalisation Index – revisited,1,['Data'],0,1
2-s2.0-85203508836,10.1016/j.fcr.2024.109586,Stable isotope composition of long and short term carbon pools can screen drought tolerance in cassava,ERA5-Land: A state-of-the-art global reanalysis dataset for land applications,0,[],0,0
2-s2.0-85129022965,10.1016/j.ecss.2022.107864,Marine monitoring by SCUBA divers reveals new aspects of the temperature variability inside the Gulf of Naples (Tyrrhenian Sea),Collaborative Database to Track Mass Mortality Events in the Mediterranean Sea,1,['Introduction'],0,0
2-s2.0-85149178525,10.1016/j.neuroimage.2023.119908,Distribution of cholinergic nerve terminals in the aged human brain measured with [18F]FEOBV PET and its correlation with histological data,A high-resolution in vivo magnetic resonance imaging atlas of the human hypothalamic region,1,['Data processing'],0,1
2-s2.0-85091497068,10.1016/j.revpalbo.2020.104300,The history of conifers in central Italy supports long-term persistence and adaptation of mesophilous conifer fungi in Arbutus-dominated shrublands,Chorological maps for the main European woody species,0,[],0,0
2-s2.0-85168836766,10.1016/j.apenergy.2023.121799,Population aging reduces carbon emissions: Evidence from China's latest three censuses,County-level CO2 emissions and sequestration in China during 1997–2017,1,['Data'],0,1
2-s2.0-105003597027,10.1016/j.rechem.2025.102238,"Synthesis, spectroscopic characterization, computational and electrochemical studies of sulfamethazine based azo dyes","Synthesis, characterization and electrochemical investigations of azo dyes derived from 2-amino-6-ethoxybenzothiazole",1,['UV–visible spectra'],0,0
2-s2.0-85117815892,10.1016/j.dsr.2021.103644,"Revised depth of the Challenger Deep from submersible transects; including a general method for precise, pressure-derived depths in the ocean",High-resolution multibeam sonar bathymetry of the deepest place in each ocean,8,"['Dive results', 'The general features of the Challenger Deep and the locations of depth estimates', 'Instrument configuration, general strategy, and software', 'Could it be the sound speed?', 'Modern acoustic measurements', 'Deepest depth', 'Comparison with other reported depths']",1,0
2-s2.0-85161014684,10.1016/j.rse.2023.113657,Integrating ICESat-2 altimetry and machine learning to estimate the seasonal water level and storage variations of national-scale lakes in China,ERA5-Land: A state-of-the-art global reanalysis dataset for land applications,1,['ERA5-Land data for machining learning modeling of the LWLsv of unobserved lakes'],0,1
2-s2.0-85049987151,10.1016/j.dib.2018.06.116,Datasets on factors influencing the urban environmental quality of intra-urban motor parks across density areas of Lagos metropolis,Data exploration on factors that influences construction cost and time performance on construction project sites,0,[],0,0
2-s2.0-85132213812,10.1016/j.apenergy.2022.119439,Sustainable development in China: Valuation of bioenergy potential and CO2 reduction from crop straw,Provincial and gridded population projection for China under shared socioeconomic pathways from 2010 to 2100,1,['Straw utilization and its quantity estimation'],0,0
2-s2.0-85106382070,10.1016/j.etap.2021.103671,Reassessment of the experimental skin permeability coefficients of polycyclic aromatic hydrocarbons and organophosphorus pesticides,"HuskinDB, a database for skin permeation of xenobiotics",2,"['Human skin permeation data for PAHs and OPPs', 'Skin']",1,1
2-s2.0-105007681676,10.1016/j.ejrh.2025.102508,Tree-ring based May-June streamflow reconstruction of Zemu River in the Eastern Himalaya,Version 4 of the CRU TS monthly high-resolution gridded multivariate climate dataset,1,['Meteorological and hydrological data'],0,1
2-s2.0-85126864679,10.1016/j.gloplacha.2022.103785,Linking the Mediterranean MIS 5 tephra markers to Campi Flegrei (southern Italy) 109–92 ka explosive activity and refining the chronology of MIS 5c-d millennial-scale climate variability,Lake Ohrid’s tephrochronological dataset reveals 1.36 Ma of Mediterranean explosive volcanic activity,0,[],0,0
2-s2.0-85125471670,10.1016/j.inoche.2022.109324,"Synthesis, XRD, hirshfeld surface analysis, ESP, HOMO-LUMO, quantum chemical modeling and anticancer activity of di(p-methyl benzyl)(dibromo)(1,10-phenanthroline) tin(IV) complex","Computational spectroscopic investigations on structural validation with IR and Raman experimental evidence, projection of ultraviolet-visible excitations, natural bond orbital interpretations, and molecular docking studies under the biological investigation on N-Benzyloxycarbonyl-L-Aspartic acid 1-Benzyl ester",0,[],0,0
2-s2.0-105001712733,10.1016/j.ijbiomac.2025.142555,Mechanistic and adsorption kinetics study of sulfonated activated carbon enhanced starch-based aerogel for high efficient adsorption of cationic and anionic dyes,"Characterization, kinetic, and isotherm data for adsorption of Pb2+ from aqueous solution by adsorbent from mixture of bagasse-bentonite",0,[],0,0
2-s2.0-105002035961,10.1016/j.apenergy.2025.125865,"Local energy zone for urban carbon emissions studies – Accounting, characterization and prediction",County-level CO2 emissions and sequestration in China during 1997–2017,3,"['Data sources', 'Progress of CEs accounting, characterization and prediction']",1,1
2-s2.0-85187798986,10.1016/j.engappai.2024.108260,"Fruit and vegetable disease detection and classification: Recent trends, challenges, and future opportunities",A citrus fruits and leaves dataset for detection and classification of citrus diseases through machine learning,1,['Fruit and vegetable datasets'],0,1
2-s2.0-85083068016,10.1016/j.aquaculture.2020.735357,Research advances in the genomics and applications for molecular breeding of aquaculture animals,Chromosome-level genome assembly of golden pompano (Trachinotus ovatus) in the family Carangidae,0,[],0,0
2-s2.0-85149623723,10.1016/j.jics.2023.100903,"Photophysical properties of (E)-4-((1-phenylethylidene)amino)-N-(pyrimidin-2-yl) benzenesulfonamide; synthesis, characterization, wavefunction and docking studies","Spectroscopic (FT-IR, FT-Raman and UV-Vis), computational (ELF, LOL, NBO, HOMO-LUMO, Fukui, MEP) studies and molecular docking on benzodiazepine derivatives- heterocyclic organic arenes",0,[],0,0
2-s2.0-85089695493,10.1016/j.polymer.2020.122870,Mesophase in melt-spun poly(ϵ-caprolactone) filaments: Structure–mechanical property relationship,"Properties, X-ray data and 2D WAXD fitting procedures of melt-spun poly(ɛ-caprolactone)",0,[],0,0
2-s2.0-85162244591,10.1016/j.scitotenv.2023.164058,Mountains of plastic: Mismanaged plastic waste along the Carpathian watercourses,A new vector-based global river network dataset accounting for variable drainage density,4,"['Data and analysis', 'Spatial distribution of MPW along the Carpathians watercourses', 'Introduction', 'River network dataset']",1,1
2-s2.0-85151025418,10.1016/j.renene.2023.03.052,Internal spillover effect of carbon emission between transportation sectors and electricity generation sectors,China CO2 emission accounts 2016–2017,0,[],0,0
2-s2.0-85167976559,10.1016/j.scitotenv.2023.165641,A wavelet coherence approach to zoning supply-demand matching of carbon sequestration service,The 30m annual land cover dataset and its dynamics in China from 1990 to 2019,1,['Study area and data sources'],0,1
2-s2.0-85210089827,10.1016/j.str.2024.10.016,LEDGF interacts with the NID domain of MeCP2 and modulates MeCP2 condensates,A catalogue of 863 Rett-syndrome-causing MECP2 mutations and lessons learned from data integration,2,"['The NID of MeCP2 interacts with LEDGF', 'Characterization of the MeCP2-LEDGF interaction']",1,0
2-s2.0-85172199980,10.1016/j.rser.2023.113697,Role of biomethane to offset natural gas,Distribution and characteristics of wastewater treatment plants within the global river network,1,['Assessment of waste biomass availability'],0,0
2-s2.0-105002149939,10.1016/j.uclim.2025.102409,Government-involved urban meteorological networks (UMNs): A global review,The automatic weather stations NOANN network of the National Observatory of Athens: operation and database,5,"['Sensor position', 'Objective', 'Standardization in setup and management of UMNs', 'Station siting']",1,0
2-s2.0-105003949553,10.1016/j.imed.2024.12.001,Osteosarcoma knowledge graph question answering system: deep learning-based knowledge graph and large language model fusion,Building a knowledge graph to enable precision medicine,1,['KG visualization'],0,0
2-s2.0-105003282075,10.1016/j.cej.2025.162800,Defect engineering of Z-scheme heterojunction catalysts for efficient CO2 photoreduction,"National contributions to climate change due to historical emissions of carbon dioxide, methane, and nitrous oxide since 1850",0,[],0,0
2-s2.0-86000670306,10.1016/j.patcog.2025.111531,Meta-learning of pseudo force field generation and estimation for enhancing 3D molecular property prediction,"GEOM, energy-annotated molecular conformations for property prediction and molecular generation",2,"['Datasets', 'Training energy-based model via denoising']",1,1
2-s2.0-85101207203,10.1016/j.matdes.2021.109572,Exploring the transfer of plasticity across Laves phase interfaces in a dual phase magnesium alloy,Symmetric and asymmetric tilt grain boundary structure and energy in Cu and Al (and transferability to other fcc metals),0,[],0,0
2-s2.0-105005732556,10.1016/j.rse.2025.114817,A novel correlation-hypothesis based single channel method for land surface temperature retrieval with reduced atmospheric dependency,GLC_FCS30D: The first global 30ĝ€¯m land-cover dynamics monitoring product with a fine classification system for the period from 1985 to 2022 generated using dense-time-series Landsat imagery and the continuous change-detection method,0,[],0,0
2-s2.0-85167821848,10.1016/j.nut.2023.112182,Trends in socioeconomic inequalities in malnutrition among children under 5 in the Democratic Republic of the Congo from 2001 to 2018,Multiple Indicator Cluster Surveys: Delivering Robust Data on Children and Women across the Globe,1,['Data source and study population'],0,1
2-s2.0-85088667098,10.1016/j.molstruc.2020.128973,"Identifying and explaining the regioselectivity of alkylation of 1,2,4-triazole-3-thiones using NMR, GIAO and DFT methods","Molecular structure, spectroscopic (FT-IR, FT-Raman) studies, Homo–Lumo and Fukui function calculations of 2-Acetyl amino-5-bromo- 4 methyl pyridine by density functional theory",0,[],0,0
2-s2.0-85112022421,10.1016/j.energy.2021.121641,Long-term predictive energy analysis of a high-performance building in a mediterranean climate under climate change,Data of cost-optimality and technical solutions for high energy performance buildings in warm climate,1,['Literature overview'],0,0
2-s2.0-105006920352,10.1016/j.agrformet.2025.110645,A multimodal machine learning fused global 0.1° daily evapotranspiration dataset from 1950-2022,ERA5-Land: A state-of-the-art global reanalysis dataset for land applications,3,"['Introduction', 'Evapotranspiration (ET) data', 'ERA5-land meteorological forcing data']",1,1
2-s2.0-85112209589,10.1016/j.chemosphere.2021.131752,Microbial communities in petroleum-contaminated sites: Structure and metabolisms,Genome of Alcanivorax sp. 24: A hydrocarbon degrading bacterium isolated from marine plastic debris,1,['Enzymes and functional genes in aerobic degradation'],0,0
2-s2.0-85219582923,10.1016/j.tig.2025.02.001,Strategies for studying sex differences in brain aging,Identification of genes escaping X inactivation by allelic expression analysis in a novel hybrid mouse model,1,['Mouse models to study XCI and X chromosome escape'],0,0
2-s2.0-85051674437,10.1016/j.jtice.2018.07.035,Mesoporous La/Mg/Si-incorporated palm shell activated carbon for the highly efficient removal of aluminum and fluoride from water,Experimental data for aluminum removal from aqueous solution by raw and iron-modified granular activated carbon,1,['Adsorption isotherms'],0,0
2-s2.0-105001552301,10.1016/j.pestbp.2025.106399,"Cythochrome P450-mediated dinotefuran resistance in onion thrips, Thrips tabaci",Chromosome-level genome assembly of bean flower thrips Megalurothrips usitatus (Thysanoptera: Thripidae),1,['Introduction'],0,0
2-s2.0-85109453646,10.1016/j.ccell.2021.04.015,Progress and potential: The Cancer Moonshot,Highly multiplexed immunofluorescence images and single-cell data of immune markers in tonsil and lung cancer,1,['Community resource programs'],0,0
2-s2.0-85126981647,10.1016/j.ceramint.2022.03.159,Interface characterization and mechanical property of an aluminum matrix syntactic foam with multi-shelled hollow sphere structure,Data characterizing flexural properties of Al/Al2O3 syntactic foam core metal matrix sandwich,0,[],0,0
2-s2.0-85182780803,10.1016/j.apgeog.2024.103205,Deciphering the evolving trajectories of China's megaregions from 1992 to 2020: A novel morphological approach based on global land cover products,GLC_FCS30: Global land-cover product with fine classification system at 30ĝ€¯m using time-series Landsat imagery,0,[],0,0
2-s2.0-85164294680,10.1016/j.conbuildmat.2023.132269,A state-of-the-art review of recent advances in porous geopolymer: Applications in adsorption of inorganic and organic contaminants in water,Compressive strength optimization of metakaolin‐based geopolymer by central composite design,1,['Introduction'],0,0
2-s2.0-85074424937,10.1016/j.molstruc.2019.127274,"Vibrational spectroscopy, reactive site analysis and molecular docking studies on 2-[(2-amino-6-oxo-6,9-dihydro-3H-purin-9-yl)methoxy]-3-hydroxypropyl (2S)-2-amino-3-methylbutanoate","Spectroscopic (FT-IR, FT-Raman) investigation, topology (ESP, ELF, LOL) analyses, charge transfer excitation and molecular docking (dengue, HCV) studies on ribavirin",0,[],0,0
2-s2.0-85077951193,10.1016/j.jenvman.2020.110140,"Perceptions of ecosystem services, disservices and willingness-to-pay for urban green space conservation",A dataset of distribution and diversity of ticks in China,1,['Introduction'],0,0
2-s2.0-85072961637,10.1016/j.jseaes.2019.104063,A state-of-the-art seismic source model for the United Arab Emirates,An updated and unified earthquake catalog from 1787 to 2018 for seismic hazard assessment studies in Mexico,0,[],0,0
2-s2.0-85207288363,10.1016/j.dib.2024.111025,Banana and Guava dataset for machine learning and deep learning-based quality classification,FruitNet: Indian fruits image dataset with quality for machine learning applications,1,['Background'],0,0
2-s2.0-85136639415,10.1016/j.micpro.2022.104603,Embedded system in handheld water turbidity meter for smallholders,A dataset for internet of things based fish farm monitoring and notification system,1,['Introduction'],0,0
2-s2.0-85214890381,10.1016/j.dwt.2025.101005,Investigating the toxicity of photocatalytic degradation products from metronidazole using ZnO/polyaniline and TiO2/polyaniline nanocomposites: A bioassay study,Data on effluent toxicity and physicochemical parameters of municipal wastewater treatment plant using Daphnia Magna,0,[],0,0
2-s2.0-85088402971,10.1016/j.surfcoat.2020.126217,Experimental study and finite element simulation of hydrogen permeation resistance of Ti-6Al-4V alloy strengthened by laser peening,Source codes and simulation data for the finite element implementation of the conventional and localizing gradient damage methods in ABAQUS,1,['Finite element modeling and meshing'],0,0
2-s2.0-85185576492,10.1016/j.isci.2024.109164,Optic atrophy 1 mediates muscle differentiation by promoting a metabolic switch via the supercomplex assembly factor SCAF1,Effect of mitochondrial fission inhibition on C2C12 differentiation,4,['Discussion'],1,0
2-s2.0-85200130622,10.1016/j.scitotenv.2024.175110,Scale dependency of taxonomic and functional diversity in pristine and recovered loess steppic grasslands,PADAPT 1.0 – the Pannonian Dataset of Plant Traits,0,[],0,0
2-s2.0-85162787901,10.1016/j.scitotenv.2023.164317,Nitrogen removal through denitrification in China's aquatic system,The 30m annual land cover dataset and its dynamics in China from 1990 to 2019,0,[],0,0
2-s2.0-85166657197,10.1016/j.dib.2023.109462,A novel dataset of guava fruit for grading and classification,FruitNet: Indian fruits image dataset with quality for machine learning applications,0,[],0,0
2-s2.0-85084795648,10.1016/j.cdc.2020.100391,"Evaluation of the effect of Tetramethylammonium hydroxide on the corrosion inhibition of A9M steel in industrial water: an experimental, morphological and MD simulation insights.",Performance and computational studies of new soluble triazole as corrosion inhibitor for carbon steel in HCl,1,['Potentiodynamic polarization curves'],0,0
2-s2.0-105008084860,10.1016/j.jplph.2025.154542,A review of the journey of field crop phenotyping: From trait stamp collections and fancy robots to phenomics-informed crop performance predictions,"VegAnn, Vegetation Annotation of multi-crop RGB images acquired under diverse conditions for segmentation",1,['Outlook'],0,0
2-s2.0-85167572132,10.1016/j.energy.2023.128667,Assessing the role of digital economy agglomeration in energy conservation and emission reduction: Evidence from China,Gridded fossil CO2 emissions and related O2 combustion consistent with national inventories 1959–2018,0,[],0,0
2-s2.0-85210538344,10.1016/j.jhydrol.2024.132393,Evaluating SWAT-3PG simulation of hydrologic and water quality processes in a forested watershed: A case study in the St. Croix River Basin,The global forest above-ground biomass pool for 2010 estimated from high-resolution satellite observations,1,['Introduction'],0,0
2-s2.0-85199193121,10.1016/j.apgeog.2024.103348,Moving forward from escaping the poverty trap in China's greenest regions: Examining four decades of socioecological evolution to re-orient sustainable development policies,The 30m annual land cover dataset and its dynamics in China from 1990 to 2019,0,[],0,0
2-s2.0-85199916539,10.1016/j.energy.2024.132174,Urban emissions and land use efficiency scenarios for avoiding increments of global warming,"National contributions to climate change due to historical emissions of carbon dioxide, methane, and nitrous oxide since 1850",3,['Introduction'],1,0
2-s2.0-85193636287,10.1016/j.molliq.2024.125064,"Solvent solute interaction (IEFPCM model), Michael addition-based anticancer drug synthesis, FTIR, NMR, and UV–visible investigations of spirooxindole-pyranoindole (2AIPC) − in vitro and in silico anti-cancer activity","Spectroscopic (FT-IR, FT-Raman) investigation, topology (ESP, ELF, LOL) analyses, charge transfer excitation and molecular docking (dengue, HCV) studies on ribavirin",1,['Topological analysis'],0,0
2-s2.0-85211214266,10.1016/j.psj.2024.104508,"South African indigenous chickens' genetic diversity, and the adoption of ecological niche modelling and landscape genomics as strategic conservation techniques",A new global dataset of bioclimatic indicators,2,['The importance of variations in indigenous chicken populations'],1,0
2-s2.0-105008325674,10.1016/j.foodres.2025.116829,"Health risk assessment from heavy metals in crops grown and marketed by family farmers in the mining region of Moquegua, Peru","Health risk assessment of heavy metals (Hg, Pb, Cd, Cr and As) via consumption of vegetables cultured in agricultural sites in Arequipa, Peru",2,"['General discussion', 'Limitations and future research']",1,0
2-s2.0-85185157192,10.1016/j.jag.2024.103659,Automatized Sentinel-2 mosaicking for large area forest mapping,A global cloud free pixel- based image composite from Sentinel-2 data,1,['Discussion'],0,0
2-s2.0-85076838242,10.1016/j.theriogenology.2019.12.012,Effect of carboxylated poly L-Lysine as a cryoprotectant on post-thaw quality and in vivo fertility of Nili Ravi buffalo (Bubalus bubalis) bull semen,Data supporting the spectrophotometric method for the estimation of catalase activity,1,['Catalase activity'],0,0
2-s2.0-85020302684,10.1016/j.tibs.2017.04.004,"Dynamic Protein Acylation: New Substrates, Mechanisms, and Drug Targets","Synthesis and characterisation of 5-acyl-6,7-dihydrothieno[3,2-c]pyridine inhibitors of Hedgehog acyltransferase",0,[],0,0
2-s2.0-85151781902,10.1016/j.rse.2023.113578,A first Chinese building height estimate at 10 m resolution (CNBH-10 m) using multi-source earth observations and machine learning,Global 1 km × 1 km gridded revised real gross domestic product and electricity consumption during 1992–2019 based on calibrated nighttime light data,0,[],0,0
2-s2.0-85201406552,10.1016/j.foodres.2024.114915,"Unraveling the effective inhibition of α-terpinol and terpene-4-ol against Aspergillus carbonarius: Antifungal mechanism, ochratoxin A biosynthesis inhibition and degradation perspectives",Data set for phylogenetic tree and RAMPAGE Ramachandran plot analysis of SODs in Gossypium raimondii and G. arboreum,0,[],0,0
2-s2.0-85097052536,10.1016/j.jneumeth.2020.108990,Towards in vivo g-ratio mapping using MRI: Unifying myelin and diffusion imaging,Example dataset for the hMRI toolbox,2,['Protocol considerations for MVF mapping'],1,0
2-s2.0-85189459948,10.1016/j.nanoso.2024.101146,Preparation of cellulose adsorbent based on banana peel waste (Musa paradisiaca): Green activation and adsorption of Rhodamine B from the aquatic environment,"Rhodamine B biosorption from aqueous solution using Eichhornia crassipes powders: Isotherm, kinetic and thermodynamic studies",0,[],0,0
2-s2.0-85192936430,10.1016/j.ecoenv.2024.116447,"Differentiating the impact of fine and coarse particulate matter on cause-specific cerebrovascular mortality: An individual-level, case-crossover study",Extending the global high-resolution downscaled projections dataset to include CMIP6 projections at increased resolution coherent with the ERA5-Land reanalysis,1,['Air pollution and meteorological data'],0,1
2-s2.0-105005214453,10.1016/j.ijdrr.2025.105575,Substantially increased risk of elderly to compound heat and drought events in coastal China under 1.5 °C–3.0 °C warming scenarios,Provincial and gridded population projection for China under shared socioeconomic pathways from 2010 to 2100,3,"['Materials', 'Uncertainties, limitations, and future research']",1,0
2-s2.0-85196007182,10.1016/j.quascirev.2024.108759,Sea-level oscillations within the last interglacial: Insights from coral reef stratigraphic forward modelling,"Reef Cover, a coral reef classification for global habitat mapping from remote sensing",1,['Methodology: fossil coral reef modelling'],0,1
2-s2.0-85151414973,10.1016/j.foreco.2023.120847,"The increasing threat to European forests from the invasive foliar pine pathogen, Lecanosticta acicola",Chorological maps for the main European woody species,0,[],0,0
2-s2.0-85209728090,10.1016/j.chemosphere.2024.143791,DGT and kinetic analyses differentiate Se and Cd bioavailability in naturally enriched paddy soils,High-resolution distribution maps of single-season rice in China from 2017 to 2022,1,['Sample collection and analysis'],0,0
